caller	site	target	edge_kind	confidence	evidence
800180e0	800180f8	80040390	direct_ghidra	confirmed_static	calls.tsv
800180e0	80018104	800403d0	direct_ghidra	confirmed_static	calls.tsv
800180e0	80018138	80040800	direct_ghidra	confirmed_static	calls.tsv
800180e0	80018140	80042c48	direct_ghidra	confirmed_static	calls.tsv
800180e0	8001814c	80042c1c	direct_ghidra	confirmed_static	calls.tsv
80018bc4	80018bd0	80042ec8	direct_ghidra	confirmed_static	calls.tsv
80018bc4	80018c24	800434a8	direct_ghidra	confirmed_static	calls.tsv
80018bc4	80018c40	80043560	direct_ghidra	confirmed_static	calls.tsv
800193dc	800193f0	8008288c	direct_ghidra	confirmed_static	calls.tsv
800193dc	8001944c	8008246c	direct_ghidra	confirmed_static	calls.tsv
800193dc	800194d8	80082380	direct_ghidra	confirmed_static	calls.tsv
800194f4	80019504	80040350	direct_ghidra	confirmed_static	calls.tsv
800194f4	80019510	800403d0	direct_ghidra	confirmed_static	calls.tsv
800194f4	80019548	80040844	direct_ghidra	confirmed_static	calls.tsv
800194f4	80019568	80042c48	direct_ghidra	confirmed_static	calls.tsv
80019598	800195fc	800292dc	direct_ghidra	confirmed_static	calls.tsv
80019598	8001962c	800249d0	direct_ghidra	confirmed_static	calls.tsv
80019598	800196cc	80029354	direct_ghidra	confirmed_static	calls.tsv
80019598	800196f4	80042c1c	direct_ghidra	confirmed_static	calls.tsv
80019598	80019754	80040690	direct_ghidra	confirmed_static	calls.tsv
80019598	80019800	80026c2c	direct_ghidra	confirmed_static	calls.tsv
80019598	80019838	800193dc	direct_ghidra	confirmed_static	calls.tsv
80019598	80019840	800194f4	direct_ghidra	confirmed_static	calls.tsv
80019598	80019870	800194f4	direct_ghidra	confirmed_static	calls.tsv
80019598	80019880	80042c1c	direct_ghidra	confirmed_static	calls.tsv
80019598	800198b4	800296c0	direct_ghidra	confirmed_static	calls.tsv
80019598	80019930	80040690	direct_ghidra	confirmed_static	calls.tsv
