global	function	access
DAT_80092AF4	8006d3a4	read
DAT_80092B00	80070c7c	read
DAT_80092C10	80070d3c	read
DAT_80092C11	80073a44	read
DAT_80092D78	80073f6c	read
DAT_80092D78	80073f9c	read
DAT_80092D7C	80073e98	read
DAT_80092D7C	80073f34	read
DAT_80092D80	80073f6c	read
DAT_80092D80	80073f9c	read
DAT_80092D98	800742c4	read
DAT_80092D98	800742d4	write
DAT_80092D98	80074364	write
DAT_80092D9C	8007449c	read
DAT_80092DB0	800746b8	read
DAT_80092DB4	800746b8	read
DAT_80092DB8	800746b8	read_write
DAT_80092DBC	800746b8	read_write
DAT_80092E20	80074a6c	read_write
DAT_80092E20	80074b44	write
DAT_80092E20	80074d14	read
DAT_80092E20	80074e5c	read_write
DAT_80092E20	80074efc	read_write
DAT_80092E22	80074a2c	read
DAT_80092E22	80074b44	write
DAT_80092E24	80074b44	read
DAT_80092E24	80074d14	read
DAT_80092E50	80074b44	read
DAT_80092E50	80074d14	read_write
DAT_80092E52	80074e5c	write
DAT_80092E52	80074efc	read
DAT_80092E54	80074e5c	write
DAT_80092E54	80074efc	read
DAT_80092E58	80074a6c	read
DAT_80092E58	80074efc	read
DAT_80092E5C	80074a6c	write
DAT_80093E38	80074a6c	read
DAT_80093EAC	80074a6c	read
DAT_80093EAC	80074b44	read_write
DAT_80093EAC	80074e5c	read
DAT_80093EB0	80074a54	read_write
DAT_80093EB0	80074a6c	read_write
DAT_80093EB0	80074b44	read
DAT_80093EB0	80074d14	read_write
DAT_80093EB0	80074e5c	read_write
DAT_80093EB0	80074efc	write
DAT_80093EB4	80074a6c	write
DAT_80093EB4	80074e5c	read_write
DAT_80093EB4	80074efc	write
DAT_80093EB8	80074b44	read_write
DAT_80093EC8	80074fe8	read
DAT_80093EC8	80075040	read
DAT_80093EE8	800746b8	read
DAT_80093EE8	80074830	read
DAT_80093EE8	80074fe8	write
DAT_80093EE8	80075040	read_write
DAT_80093EEC	80074fe8	write
DAT_80093EF8	80075108	write
DAT_80093EF8	80075154	read_write
DAT_80093EFC	80075108	read
DAT_80093EFC	80075154	read
DAT_80093F1C	80075154	read
DAT_80093F28	800753a8	read_write
DAT_80093F28	800753bc	read
DAT_80093F40	800754e0	write
DAT_80093F40	800760d8	read
DAT_80093F40	80077108	read
DAT_80093F40	800777d8	read
DAT_80093F44	800753f8	write
DAT_80093F44	80077468	read_write
DAT_80093F44	80077628	read
DAT_80093F44	8007795c	read
DAT_80093F48	800753f8	write
DAT_80093F48	800777a8	write
DAT_80093F48	800777d8	read
DAT_80093F4C	800753f8	write
DAT_80093F4C	80076158	read_write
