address	name	body_bytes	status	origin	region
80015944	FUN_80015944	40	ok	resident_export	resident
8001596c	FUN_8001596c	68	ok	resident_export	resident
800159b0	FUN_800159b0	68	ok	resident_export	resident
800159f4	FUN_800159f4	40	ok	resident_export	resident
80015a1c	FUN_80015a1c	40	ok	resident_export	resident
80015a44	FUN_80015a44	40	ok	resident_export	resident
80015a6c	FUN_80015a6c	68	ok	resident_export	resident
80015ab0	FUN_80015ab0	68	ok	resident_export	resident
80015af4	FUN_80015af4	24	ok	resident_export	resident
80015b28	FUN_80015b28	60	ok	resident_export	resident
80015b64	FUN_80015b64	60	ok	resident_export	resident
80015ba0	FUN_80015ba0	60	ok	resident_export	resident
80015bdc	FUN_80015bdc	60	ok	resident_export	resident
80015c18	FUN_80015c18	16	ok	resident_export	resident
80015c28	FUN_80015c28	12	ok	resident_export	resident
80015c34	FUN_80015c34	160	ok	resident_export	resident
80015cd4	FUN_80015cd4	68	ok	resident_export	resident
80015d18	FUN_80015d18	248	ok	resident_export	resident
80015e10	FUN_80015e10	1544	ok	resident_export	resident
80016418	FUN_80016418	636	ok	resident_export	resident
800166a0	FUN_800166a0	1408	ok	resident_export	resident
80016c20	FUN_80016c20	40	ok	resident_export	resident
80016c48	FUN_80016c48	176	ok	resident_export	resident
80016cf8	FUN_80016cf8	148	ok	resident_export	resident
80016d8c	FUN_80016d8c	412	ok	resident_export	resident
80016f28	FUN_80016f28	40	ok	resident_export	resident
80016f50	FUN_80016f50	148	ok	resident_export	resident
80016fe4	FUN_80016fe4	104	ok	resident_export	resident
8001704c	FUN_8001704c	120	ok	resident_export	resident
800170c4	FUN_800170c4	1084	ok	resident_export	resident
80017500	FUN_80017500	68	ok	resident_export	resident
80017544	FUN_80017544	304	ok	resident_export	resident
80017674	FUN_80017674	56	ok	resident_export	resident
800176ac	FUN_800176ac	132	ok	resident_export	resident
80017730	FUN_80017730	56	ok	resident_export	resident
80017860	FUN_80017860	208	ok	resident_export	resident
80017930	FUN_80017930	92	ok	resident_export	resident
8001798c	FUN_8001798c	952	ok	resident_export	resident
80017d44	FUN_80017d44	136	ok	resident_export	resident
80017dcc	FUN_80017dcc	200	ok	resident_export	resident
80017e94	FUN_80017e94	256	ok	resident_export	resident
80017f94	FUN_80017f94	124	ok	resident_export	resident
80018010	FUN_80018010	208	ok	resident_export	resident
800180e0	FUN_800180e0	156	ok	resident_export	resident
8001817c	FUN_8001817c	112	ok	resident_export	resident
80018bc4	FUN_80018bc4	196	ok	resident_export	resident
80018c88	FUN_80018c88	188	ok	resident_export	resident
800193dc	FUN_800193dc	280	ok	resident_export	resident
800194f4	FUN_800194f4	164	ok	resident_export	resident
80019598	FUN_80019598	1024	ok	resident_export	resident
80019998	FUN_80019998	88	ok	resident_export	resident
800199f0	FUN_800199f0	204	ok	resident_export	resident
80019b30	FUN_80019b30	48	ok	resident_export	resident
80019b60	FUN_80019b60	248	ok	resident_export	resident
80019c58	FUN_80019c58	80	ok	resident_export	resident
8001b05c	FUN_8001b05c	164	ok	resident_export	resident
8001b100	FUN_8001b100	1524	ok	resident_export	resident
8001b6f4	FUN_8001b6f4	44	ok	resident_export	resident
8001b720	FUN_8001b720	268	ok	resident_export	resident
8001b82c	FUN_8001b82c	128	ok	resident_export	resident
8001b8ac	FUN_8001b8ac	440	ok	resident_export	resident
8001ba64	FUN_8001ba64	600	ok	resident_export	resident
8001bcbc	FUN_8001bcbc	64	ok	resident_export	resident
8001d1a0	FUN_8001d1a0	260	ok	resident_export	resident
8001d324	FUN_8001d324	340	ok	resident_export	resident
8001d478	FUN_8001d478	156	ok	resident_export	resident
8001d514	FUN_8001d514	188	ok	resident_export	resident
8001d5d0	FUN_8001d5d0	5632	ok	resident_export	resident
8001ebd0	FUN_8001ebd0	176	ok	resident_export	resident
8001ec80	FUN_8001ec80	292	ok	resident_export	resident
8001eda4	FUN_8001eda4	216	ok	resident_export	resident
8001ee7c	FUN_8001ee7c	92	ok	resident_export	resident
8001eed8	FUN_8001eed8	92	ok	resident_export	resident
8001ef34	FUN_8001ef34	252	ok	resident_export	resident
8001f030	FUN_8001f030	660	ok	resident_export	resident
8001f2c4	FUN_8001f2c4	504	ok	resident_export	resident
800208e8	FUN_800208e8	604	ok	resident_export	resident
80020b44	FUN_80020b44	364	ok	resident_export	resident
80020cb0	FUN_80020cb0	412	ok	resident_export	resident
80020e4c	FUN_80020e4c	100	ok	resident_export	resident
80020eb0	FUN_80020eb0	1672	ok	resident_export	resident
80021538	FUN_80021538	220	ok	resident_export	resident
